@relation children

@attribute year {2012,2013,2014,2015}
@attribute class {5,6,7,8,9}
@attribute sex {male, female}
@attribute RPG {no,yes}
@attribute quest {no,yes}
@attribute shooter {no,yes}
@attribute arcade {no,yes}
@attribute strategy {no,yes}
@attribute simulation {no,yes}
@attribute logical {no,yes}
@attribute online-games {no,yes}
@attribute games {no,yes}
@attribute gameHours numeric
@attribute sosialHours numeric
@attribute sosialsites {no,yes}
@attribute watch_video {no,yes}
@attribute search_information {no,yes}
@attribute read_news {no,yes}
@attribute listen_music {no,yes}
@attribute watch_films {no,yes}
@attribute onlineHours numeric
@attribute totalHours numeric
@attribute azExtravers numeric
@attribute azNeirotizm numeric
@attribute VND {сангвиник, холерик, меланхолик, флегматик}
@attribute spSituation numeric
@attribute spPersonal numeric
@attribute dminL numeric
@attribute dmaxL numeric
@attribute drashL numeric
@attribute dminR numeric
@attribute dmaxR numeric
@attribute drashR numeric
@attribute min {left,right}
@attribute max {left,right}
@attribute rash {left,right}
@attribute red+ numeric
@attribute green+ numeric
@attribute blue+ numeric
@attribute red- numeric
@attribute green- numeric
@attribute blue- numeric
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute awerage_mark numeric
@attribute sleepHours numeric
@attribute hardtofall {no,yes}
@attribute hardtoawake {no,yes}
@attribute enoughsleep {no,yes}
@attribute awakeatnight {no,yes}
@attribute insomnia {no,yes}

@data
2012,5,female,no,no,yes,no,no,no,no,?,?,11.5,4.5,yes,no,yes,no,no,no,2,18,16,15,холерик,31,41,184,851,3565,345,805,2530,right,left,left,8,14,8,?,?,?,0,1,0,4.3,?,?,?,?,?,?									
2012,6,male,no,no,no,no,no,yes,no,?,?,7,7,yes,no,no,no,no,no,2,16,21,8,сангвиник,35,31,414,1058,4393,391,1219,3013,left,right,left,4,11,6,?,?,?,0,1,0,4.1,?,?,?,?,?,?									
2012,6,female,no,no,no,no,no,no,no,?,?,0,10,yes,yes,no,no,no,no,0,10,16,20,холерик,58,56,276,713,2024,345,598,1518,right,left,left,5,11,5,?,?,?,0,1,0,4.2,?,?,?,?,?,?									
2012,6,male,no,no,no,yes,no,no,no,?,?,0,10,yes,no,no,no,no,no,0,10,18,16,холерик,47,46,184,713,3082,322,943,2944,right,right,left,5,12,4,?,?,?,0,1,0,4.5,?,?,?,?,?,?									
2012,6,female,no,no,no,no,no,no,yes,?,?,1,8.5,yes,no,yes,no,no,no,0.5,10,16,14,сангвиник,36,33,?,?,?,?,?,?,?,?,?,5,11,5,?,?,?,0,1,0,4.3,?,?,?,?,?,?									
2012,6,male,no,yes,no,no,no,no,no,?,?,26,4.5,yes,yes,yes,no,no,yes,3.5,34,20,9,сангвиник,40,42,230,644,1863,299,713,1518,right,right,left,5,10,6,?,?,?,0,1,0,3.4,?,?,?,?,?,?									
2012,6,male,yes,no,no,no,no,no,no,?,?,18.5,3.5,yes,no,yes,yes,yes,no,1,23,6,20,меланхолик,56,56,?,?,?,322,874,3473,?,?,?,4,10,4,?,?,?,0,1,0,5,?,?,?,?,?,?									
2012,6,female,no,no,no,no,no,yes,no,?,?,12,3,no,no,yes,no,no,no,3,18,19,12,сангвиник,36,44,207,851,3335,368,989,2553,right,right,left,4,6,3,?,?,?,0,1,0,4.3,?,?,?,?,?,?									
2012,6,female,no,no,no,yes,no,no,no,?,?,0,9,yes,no,yes,yes,yes,no,3,12,20,12,сангвиник,52,46,276,828,2185,368,1196,1886,right,right,left,8,8,5,?,?,?,1,1,0,3.9,?,?,?,?,?,?									
2012,6,female,yes,no,no,no,no,yes,no,?,?,5,0,no,yes,no,no,no,no,0,5,18,18,сангвиник,35,44,230,621,2622,322,897,2507,right,right,left,4,6,4,?,?,?,0,1,0,3.8,?,?,?,?,?,?									
2012,6,female,no,no,no,yes,no,yes,no,?,?,2,3,no,no,no,no,no,no,2,7,16,16,холерик,31,35,207,667,1633,322,644,1794,right,left,right,6,14,6,?,?,?,0,1,0,4.9,?,?,?,?,?,?									
2012,6,male,no,no,yes,no,no,no,no,?,?,20,3.5,yes,no,yes,yes,yes,no,5,28.5,12,18,холерик,61,59,345,1081,3473,230,621,3726,left,left,right,2,4,2,?,?,?,0,1,0,4,?,?,?,?,?,?									
2012,6,female,no,no,yes,no,no,no,no,?,?,1,3.5,yes,no,yes,no,no,no,2.5,7,8,19,меланхолик,51,51,299,1035,2162,253,713,2093,left,left,left,3,5,3,?,?,?,0,1,0,3.4,?,?,?,?,?,?									
2012,6,male,no,yes,yes,no,no,no,no,?,?,7,22,yes,no,yes,no,no,no,1,30,17,12,сангвиник,46,44,345,897,2116,322,851,2323,left,left,right,5,8,15,?,?,?,0,0,1,3.7,?,?,?,?,?,?									
2012,6,female,no,no,no,no,no,no,no,?,?,0,18,yes,yes,yes,no,no,no,5,23,22,18,холерик,65,53,253,644,3036,115,759,2323,left,right,left,2,4,3,?,?,?,0,1,0,4.6,?,?,?,?,?,?									
2012,6,male,no,no,no,no,yes,no,no,?,?,9.5,0,no,no,no,no,no,no,0,9.5,17,9,сангвиник,37,43,?,?,?,184,759,3404,?,?,?,5,13,5,?,?,?,0,1,0,5,?,?,?,?,?,?									
2012,6,male,no,no,no,no,no,yes,no,?,?,7.5,6,yes,no,yes,no,no,yes,3.5,17,17,12,сангвиник,45,55,276,1035,3266,184,897,2852,left,left,left,4,6,3,?,?,?,0,1,0,4,?,?,?,?,?,?									
2012,6,female,no,no,no,no,no,yes,no,?,?,3,1,no,yes,no,no,no,no,0,4,22,20,холерик,44,47,368,989,1840,506,920,2461,right,left,right,8,17,14,?,?,?,0,1,0,3.6,?,?,?,?,?,?									
2012,6,female,no,no,no,no,no,yes,no,?,?,17,0,no,no,yes,yes,yes,no,21,38,17,24,холерик,54,48,299,759,1886,184,736,2208,left,right,right,9,9,7,?,?,?,1,1,0,4.7,?,?,?,?,?,?							
