@relation children

@attribute class {5,6,7,8,9}
@attribute sex {1,0}
@attribute RPG {1,0}
@attribute quest {1,0}
@attribute shooter {1,0}
@attribute arcade {1,0}
@attribute stratigy {1,0}
@attribute simulator {1,0}
@attribute logical {1,0}
@attribute online {1,0}
@attribute games {1,0}
@attribute gameHours numeric
@attribute sosialHours numeric
@attribute sosial {1,0}
@attribute video {1,0}
@attribute information {1,0}
@attribute news {1,0}
@attribute music {1,0}
@attribute films {1,0}
@attribute onlineHours numeric
@attribute totalHours numeric
@attribute azExtravers numeric
@attribute azNeirotizm numeric
@attribute VND {сангвиник, холерик, меланхолик, флегматик}
@attribute spSituation numeric
@attribute spPersonal numeric
@attribute dminL numeric
@attribute dmaxL numeric
@attribute drashL numeric
@attribute dminR numeric
@attribute dmaxR numeric
@attribute drashR numeric
@attribute min {1,0}
@attribute max {1,0}
@attribute rash {1,0}
@attribute red+ numeric
@attribute green+ numeric
@attribute blue+ numeric
@attribute red- numeric
@attribute green- numeric
@attribute blue- numeric
@attribute red {1,0}
@attribute green {1,0}
@attribute blue {1,0}
@attribute mark numeric
@attribute sleepHours numeric
@attribute hardtofall {1,0}
@attribute hardtoawake {1,0}
@attribute enoughsleep {1,0}
@attribute awakeatnight {1,0}
@attribute insomnia {1,0}

@data
8,0,0,0,0,0,0,0,1,0,1,10.01,27.58,0,1,0,0,1,1,29.75,67.34,11,24,меланхолик,58,56,307,989,2461,506,1066,2499,1,1,0,4,12,13,1,7,7,0,0,1,3.3,9.5,1,1,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,18.62,0,0,0,1,1,1,22.12,40.74,16,14,сангвиник,47,47,314,919,2730,498,1119,2277,1,1,1,9,19,16,5,17,13,0,1,0,3.5,8,1,1,0,1,0
8,1,0,0,1,0,0,1,0,0,1,21,10.5,0,0,1,0,0,0,14,45.5,19,5,сангвиник,25,31,207,666,2519,314,920,2315,1,1,1,5,13,16,3,10,11,0,0,1,5,7.5,0,1,1,0,0
8,1,1,0,1,0,1,1,0,1,1,8.26,35.7,0,0,0,0,1,0,3.5,47.46,19,5,сангвиник,24,33,169,790,2706,138,981,2921,0,1,0,9,19,14,3,17,11,0,1,0,3.6,8,0,0,1,0,0
8,0,0,0,0,0,0,0,0,0,1,1.75,14.63,0,0,0,1,1,0,16.1,32.48,20,14,сангвиник,30,42,345,912,3128,330,1089,2177,0,1,1,11,18,19,4,9,13,0,0,1,3.5,6.5,0,1,0,0,0
7,0,0,0,0,0,0,0,0,1,1,14,19.8,1,1,1,0,1,1,12,45.8,15,21,холерик,53,55,238,767,2354,230,621,3059,0,0,0,4,11,5,0,6,5,0,1,0,3.6,5.5,1,1,0,1,1
8,0,0,0,0,0,0,0,0,0,0,0,13.3,1,0,1,1,1,0,49,62.3,15,15,холерик,36,42,222,897,2921,253,759,2851,1,0,1,2,3,2,6,6,6,0,1,0,4.5,5.5,0,0,0,0,0
8,1,0,0,1,0,1,1,0,0,1,21,8.12,0,1,1,0,1,1,12.25,41.37,19,9,сангвиник,25,33,150,725,2243,230,644,2185,1,0,1,3,15,15,1,12,12,0,1,1,5,7.5,1,0,1,0,0
8,0,0,0,0,0,0,0,0,0,0,0,17.15,0,0,1,1,1,0,13.65,30.8,17,18,холерик,29,48,268,675,2607,299,790,2492,1,1,1,7,17,20,11,11,13,0,0,1,3.6,?,?,?,?,?,?
8,0,0,0,1,0,0,0,0,1,1,14,42,0,0,1,0,1,0,42,98,19,13,сангвиник,42,31,184,905,3074,222,705,2852,1,0,1,4,7,3,1,2,2,0,1,0,4.3,8,0,1,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,17.5,1,1,1,0,1,1,20,37.5,21,10,сангвиник,32,42,368,1027,1947,284,958,2223,0,0,0,6,13,15,3,6,9,0,0,1,4.5,9,0,0,0,0,0
8,1,0,0,1,0,1,0,1,0,1,12,0,0,0,1,0,1,1,10.5,22.5,20,4,сангвиник,43,37,222,866,2783,245,805,2047,1,0,1,3,14,11,2,12,10,0,1,0,4.2,7.5,0,0,0,0,0
8,1,0,0,1,1,0,0,0,1,1,6.3,10.29,0,1,1,0,1,1,15.05,31.64,19,6,сангвиник,30,28,299,656,3255,230,759,2484,0,1,1,7,17,16,4,13,12,0,1,0,3.1,9,0,1,1,0,0
5,1,0,1,1,0,0,0,0,?,?,2,2,0,0,0,0,0,1,6,8,15,12,сангвиник,33,47,?,?,?,483,1196,2576,?,?,?,20,21,21,?,?,?,0,1,1,3.4,?,?,?,?,?,?
5,1,0,0,0,0,0,0,0,?,?,0,5.5,1,0,1,0,0,0,0.5,6,16,12,сангвиник,31,37,483,1035,1748,207,943,4117,0,1,1,3,12,4,?,?,?,0,1,0,3.8,?,?,?,?,?,?
5,0,0,0,0,1,0,1,1,?,?,7,0,0,1,0,0,0,1,3,10,15,15,холерик,32,34,230,897,2116,437,1219,1978,1,1,0,3,9,4,?,?,?,0,1,0,3.8,?,?,?,?,?,?
5,0,0,0,1,0,0,0,0,?,?,11.5,4.5,1,0,1,0,0,0,2,18,16,15,холерик,31,41,184,851,3565,345,805,2530,1,0,0,8,14,8,?,?,?,0,1,0,4.3,?,?,?,?,?,?
6,1,0,0,0,0,0,1,0,?,?,7,7,1,0,0,0,0,0,2,16,21,8,сангвиник,35,31,414,1058,4393,391,1219,3013,0,1,0,4,11,6,?,?,?,0,1,0,4.1,?,?,?,?,?,?
6,0,0,0,0,0,0,0,0,?,?,0,10,1,1,0,0,0,0,0,10,16,20,холерик,58,56,276,713,2024,345,598,1518,1,0,0,5,11,5,?,?,?,0,1,0,4.2,?,?,?,?,?,?
6,1,0,0,0,1,0,0,0,?,?,0,10,1,0,0,0,0,0,0,10,18,16,холерик,47,46,184,713,3082,322,943,2944,1,1,0,5,12,4,?,?,?,0,1,0,4.5,?,?,?,?,?,?
6,0,0,0,0,0,0,0,1,?,?,1,8.5,1,0,1,0,0,0,0.5,10,16,14,сангвиник,36,33,?,?,?,?,?,?,?,?,?,5,11,5,?,?,?,0,1,0,4.3,?,?,?,?,?,?
6,1,0,1,0,0,0,0,0,?,?,26,4.5,1,1,1,0,0,1,3.5,34,20,9,сангвиник,40,42,230,644,1863,299,713,1518,1,1,0,5,10,6,?,?,?,0,1,0,3.4,?,?,?,?,?,?
6,1,1,0,0,0,0,0,0,?,?,18.5,3.5,1,0,1,1,1,0,1,23,6,20,меланхолик,56,56,?,?,?,322,874,3473,?,?,?,4,10,4,?,?,?,0,1,0,5,?,?,?,?,?,?
6,0,0,0,0,0,0,1,0,?,?,12,3,0,0,1,0,0,0,3,18,19,12,сангвиник,36,44,207,851,3335,368,989,2553,1,1,0,4,6,3,?,?,?,0,1,0,4.3,?,?,?,?,?,?
6,0,0,0,0,1,0,0,0,?,?,0,9,1,0,1,1,1,0,3,12,20,12,сангвиник,52,46,276,828,2185,368,1196,1886,1,1,0,8,8,5,?,?,?,1,1,0,3.9,?,?,?,?,?,?
6,0,1,0,0,0,0,1,0,?,?,5,0,0,1,0,0,0,0,0,5,18,18,сангвиник,35,44,230,621,2622,322,897,2507,1,1,0,4,6,4,?,?,?,0,1,0,3.8,?,?,?,?,?,?
6,0,0,0,0,1,0,1,0,?,?,2,3,0,0,0,0,0,0,2,7,16,16,холерик,31,35,207,667,1633,322,644,1794,1,0,1,6,14,6,?,?,?,0,1,0,4.9,?,?,?,?,?,?
6,1,0,0,1,0,0,0,0,?,?,20,3.5,1,0,1,1,1,0,5,28.5,12,18,холерик,61,59,345,1081,3473,230,621,3726,0,0,1,2,4,2,?,?,?,0,1,0,4,?,?,?,?,?,?
6,0,0,0,1,0,0,0,0,?,?,1,3.5,1,0,1,0,0,0,2.5,7,8,19,меланхолик,51,51,299,1035,2162,253,713,2093,0,0,0,3,5,3,?,?,?,0,1,0,3.4,?,?,?,?,?,?
6,1,0,1,1,0,0,0,0,?,?,7,22,1,0,1,0,0,0,1,30,17,12,сангвиник,46,44,345,897,2116,322,851,2323,0,0,1,5,8,15,?,?,?,0,0,1,3.7,?,?,?,?,?,?
6,0,0,0,0,0,0,0,0,?,?,0,18,1,1,1,0,0,0,5,23,22,18,холерик,65,53,253,644,3036,115,759,2323,0,1,0,2,4,3,?,?,?,0,1,0,4.6,?,?,?,?,?,?
6,1,0,0,0,0,1,0,0,?,?,9.5,0,0,0,0,0,0,0,0,9.5,17,9,сангвиник,37,43,?,?,?,184,759,3404,?,?,?,5,13,5,?,?,?,0,1,0,5,?,?,?,?,?,?
6,1,0,0,0,0,0,1,0,?,?,7.5,6,1,0,1,0,0,1,3.5,17,17,12,сангвиник,45,55,276,1035,3266,184,897,2852,0,0,0,4,6,3,?,?,?,0,1,0,4,?,?,?,?,?,?
6,0,0,0,0,0,0,1,0,?,?,3,1,0,1,0,0,0,0,0,4,22,20,холерик,44,47,368,989,1840,506,920,2461,1,0,1,8,17,14,?,?,?,0,1,0,3.6,?,?,?,?,?,?
6,0,0,0,0,0,0,1,0,?,?,17,0,0,0,1,1,1,0,21,21,17,24,холерик,54,48,299,759,1886,184,736,2208,0,1,1,9,9,7,?,?,?,1,1,0,4.7,?,?,?,?,?,?
