@relation children

@attribute class numeric
@attribute sex {1,0}
@attribute RPG {1,0}
@attribute shooter {1,0}
@attribute fighting {1,0}
@attribute stratigy {1,0}
@attribute simulator {1,0}
@attribute logical {1,0}
@attribute gameHours numeric
@attribute sosialHours numeric
@attribute films {1,0}
@attribute music {1,0}
@attribute information {1,0}
@attribute documents {1,0}
@attribute onlineHours numeric
@attribute totalHours numeric
@attribute azExtravers numeric
@attribute azNeirotizm numeric
@attribute azLie numeric
@attribute VND {сангвиник, холерик, меланхолик, флегматик}
@attribute spSituation numeric
@attribute spPersonal numeric
@attribute dminL numeric
@attribute dmaxL numeric
@attribute drashL numeric
@attribute dminR numeric
@attribute dmaxR numeric
@attribute drashR numeric
@attribute Amin numeric
@attribute Amax numeric
@attribute Arash numeric
@attribute Acommon numeric
@attribute WR numeric
@attribute WL numeric
@attribute AsW numeric
@attribute min {1,0}
@attribute max {1,0}
@attribute rash {1,0}
@attribute W {1,0}
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute difficit {1,0}
@attribute mark numeric
@attribute sleepHours numeric
@attribute hardtofall {1,0}
@attribute hardtoawake {1,0}
@attribute enoughsleep {1,0}
@attribute awakeatnight {1,0}
@attribute insomnia {1,0}

@data
8,0,0,0,0,0,0,0,0,17.5,1,0,0,0,10.5,28,12,20,6,холерик,57,55,214.667,828,2781.667,241.5,828,2817.5,0.059,0,-0.006,0.059,2946.559,2910.212,36.347,1,0,0,0,7,20,17,0,3.65,8,1,0,1,0,0
8,0,0,0,0,0,1,0,14,91,1,1,1,1,91,196,15,18,2,холерик,43,44,138,705.333,3204.667,172.5,885.5,2955.5,0.111,0.113,0.04,0.164,3090.121,3284.27,-194.149,1,1,1,1,7,15,13,0,3.63,9,1,1,0,0,0
8,0,0,0,0,0,0,0,0,18.55,1,1,1,1,42,60.55,21,9,4,сангвиник,29,31,153.333,582.667,1909,161,621,2415,0.024,0.032,-0.117,0.124,2498.757,2001.822,496.935,1,1,0,1,8,20,19,0,4.96,7,1,0,0,0,0
8,0,0,0,0,0,0,1,10.01,27.58,1,1,0,1,29.75,67.34,11,24,4,меланхолик,58,56,306.667,989,2461,506,1065.667,2499.333,0.245,0.037,-0.008,0.248,2763.756,2669.96,93.796,1,1,0,1,4,12,13,0,3.32,9.5,1,1,0,0,0
8,1,0,0,0,0,0,0,0,18.62,1,1,0,1,22.12,40.74,16,14,1,сангвиник,47,47,314.333,919,2730.333,498.333,1119.333,2277,0.226,0.098,0.091,0.263,2585.725,2897.945,-312.221,1,1,1,1,9,19,16,0,3.47,8,1,1,0,1,0
8,1,0,1,0,0,1,0,21,10.5,0,0,1,0,14,45.5,19,5,4,сангвиник,25,31,207,665.5,2518.5,314.333,920,2315.333,0.206,0.161,0.042,0.264,2511.17,2613.155,-101.986,1,1,1,1,5,13,16,0,5,7.5,0,1,1,0,0
8,1,1,1,0,1,1,0,8.26,35.7,0,1,0,1,3.5,47.46,19,5,7,сангвиник,24,33,168.667,789.667,2706.333,138,981.333,2921,-0.1,0.108,-0.038,0.152,3084.526,2824.228,260.298,0,1,0,0,9,19,14,0,3.59,8,0,0,1,0,0
8,0,0,0,0,0,0,0,1.75,14.63,0,1,0,0,16.1,32.48,20,14,4,сангвиник,30,42,345,912.333,3128,329.667,1088.667,2177.333,-0.023,0.088,0.179,0.201,2456.554,3276.547,-819.994,0,1,1,1,11,18,19,0,3.49,6.5,0,1,0,0,0
7,0,0,0,0,0,0,0,14,198.1,1,1,1,1,26.7,238.8,15,21,2,холерик,53,55,237.667,766.667,2353.667,230,621,3059,-0.016,-0.105,-0.13,0.168,3129.86,2486.767,643.093,0,0,0,0,4,11,5,0,3.56,5.5,1,1,0,1,1
8,0,0,0,0,0,0,0,0,133,0,1,1,1,49,182,15,15,6,холерик,36,42,222.333,897,2921,253,759,2851,0.065,-0.083,0.012,0.106,2961.13,3063.704,-102.574,1,0,1,1,2,3,2,1,4.51,5.5,0,0,0,0,0
